Name, Column Type String
"uri","id:null,int; value:string,null"
"interpretation","id:null,int; value:string,null"
"manifestation","id:null,int; value:string,null"
"payload","id:null,int; value:blob,null"
"storage","id:null,int; value:string,null; state:null,int; icon:string,null; display_name:string,null"
"text","id:null,int; value:string,null"
"mimetype","id:null,int; value:string,null"
"actor","id:null,int; value:string,null"
"schema_version","schema:string,null; version:null,int"
"moz_downloads","id:null,int; name:string,null; source:string,null; target:string,null; tempPath:string,null; startTime:null,int; endTime:null,int; state:null,int; referrer:string,null; entityID:string,null; currBytes:int; maxBytes:int; mimeType:string,null; preferredApplication:string,null; preferredAction:int; autoResume:int; guid:string,null"
"moz_deleted_logins","id:null,int; guid:string,null; timeDeleted:null,int"
"moz_disabledHosts","id:null,int; hostname:string,null"
"moz_logins","id:null,int; hostname:string; httpRealm:string,null; formSubmitURL:string,null; usernameField:string; passwordField:string; encryptedUsername:string; encryptedPassword:string; guid:string,null; encType:null,int; timeCreated:null,int; timeLastUsed:null,int; timePasswordChanged:null,int; timesUsed:null,int"
"moz_keywords","id:null,int; keyword:string,null"
"moz_bookmarks","id:null,int; type:null,int; fk:null,int; parent:null,int; position:null,int; title:string,null; keyword_id:null,int; folder_type:string,null; dateAdded:null,int; lastModified:null,int; guid:string,null"
"moz_hosts","id:null,int; host:string; frecency:null,int; typed:int; prefix:string,null"
"moz_historyvisits","id:null,int; from_visit:null,int; place_id:null,int; visit_date:null,int; visit_type:null,int; session:null,int"
"moz_places","id:null,int; url:string,null; title:string,null; rev_host:string,null; visit_count:null,int; hidden:int; typed:int; favicon_id:null,int; frecency:int; last_visit_date:null,int; guid:string,null"
"expiration_notify","id:null,int; v_id:null,int; p_id:null,int; url:string; guid:string; visit_date:null,int; expected_results:int"
"prefs","id:null,int; groupID:null,int; settingID:int; value:blob,null"
"settings","id:null,int; name:string"
"groups","id:null,int; name:string"
"webappsstore2","scope:string,null; key:string,null; value:string,null; secure:null,int; owner:string,null"
"mappings","timestamp:null,int; device:string,null; profile:string,null"
"properties","device_id:string,null; property:string,null; value:string,null"
"devices","device_id:string,null; device:string,null"
"moz_deleted_formhistory","id:null,int; timeDeleted:null,int; guid:string,null"
"moz_formhistory","id:null,int; fieldname:string; value:string; timesUsed:null,int; firstUsed:null,int; lastUsed:null,int; guid:string,null"
"moz_openpages_temp","url:string,null; open_count:null,int"
"moz_hosts","id:null,int; host:string,null; type:string,null; permission:null,int; expireType:null,int; expireTime:null,int; appId:null,int; isInBrowserElement:null,int"
